Name	Set	ImageFile	Card Color	Type	Archetype	Life
RedToken	Tokens	RTK.png				
BlueToken	Tokens	BTK.png				
Fighter	Phoenix_Dawn	001.jpg	Fighter	Entrant		40
Caster	Phoenix_Dawn	002.jpg	Caster	Entrant		40
Ninja	Phoenix_Dawn	004.jpg	Ninja	Entrant		40
Smoke Grenade	Phoenix_Dawn	005.jpg	Ninja	Item	Shadowseal	
Block	Phoenix_Dawn	006.jpg	Generic	Resp	First Form	
Punch	Phoenix_Dawn	007.jpg	Generic	Tech	First Form	
Dash	Phoenix_Dawn	008.jpg	Generic	Tech	First Form	
Trenched Tortoise	Phoenix_Dawn	009.jpg	Generic	Summ	Mage's Familiar	15
Kunai	Phoenix_Dawn	010.jpg	Generic	Resp	Shadowseal	
Basic Slime	Phoenix_Dawn	011.jpg	Generic	Summ	Slime	1
Mine	Phoenix_Dawn	012.jpg	Generic	Item		
Tripwire	Phoenix_Dawn	013.jpg	Generic	Item		
Misinformation	Phoenix_Dawn	014.jpg	Generic	Item		
Escape Route	Phoenix_Dawn	015.jpg	Generic	Item		
Wooden Buckler	Phoenix_Dawn	016.jpg	Generic	Item		
Potion	Phoenix_Dawn	017.jpg	Generic	Item		
Tamer Treats	Phoenix_Dawn	018.jpg	Generic	Tech		
Counterpunch	Phoenix_Dawn	019.jpg	Generic	Resp		
Stone Throw	Phoenix_Dawn	020.jpg	Generic	Resp		
Backtrack	Phoenix_Dawn	021.jpg	Generic	Resp		
Entraptured Pixie	Phoenix_Dawn	022.jpg	Generic	Summ		2
Loyal Golem	Phoenix_Dawn	023.jpg	Generic	Summ		4
Hunting Eagle	Phoenix_Dawn	024.jpg	Generic	Summ		1
Childhood Guardian 	Phoenix_Dawn	025.jpg	Generic	Summ		2
Lost Mole	Phoenix_Dawn	026.jpg	Generic	Summ		4
Bomb Defusing Weasel	Phoenix_Dawn	027.jpg	Generic	Summ		4
Wandering Lion	Phoenix_Dawn	028.jpg	Generic	Summ		6
Honor	Phoenix_Dawn	029.jpg	Generic	Tech		
Fated Phoenix Path	Phoenix_Dawn	030.jpg	Fighter	Summ	Second Form	4
Closing In	Phoenix_Dawn	031.jpg	Fighter	Tech	Second Form	
Falling Phoenix Feather	Phoenix_Dawn	032.jpg	Fighter	Tech	First Form	
Situational Improvisation	Phoenix_Dawn	033.jpg	Fighter	Tech	Fourth Form	
Infinite Phoenix Flame	Phoenix_Dawn	034.jpg	Fighter	Tech	Fourth Form	
Dodge	Phoenix_Dawn	035.jpg	Fighter	Resp	Second Form	
Flickering Phoenix Sparks	Phoenix_Dawn	036.jpg	Fighter	Resp	Second Form	
Tornado Kick	Phoenix_Dawn	037.jpg	Fighter	Tech	Second Form	
Neutralize	Phoenix_Dawn	038.jpg	Fighter	Resp	Third Form	
Raised in the Wild	Phoenix_Dawn	039.jpg	Fighter	Tech	First Form	
Blazing Phoenix Rise	Phoenix_Dawn	040.jpg	Fighter	Tech	Third Form	
Defensive Stance	Phoenix_Dawn	041.jpg	Fighter	Summ		4
Offensive Stance	Phoenix_Dawn	042.jpg	Fighter	Summ		2
